date,ticker,asset_class,sector,return
2020-10-19,GS,Equity,Financials,-0.0025217086981058623
2020-10-19,INTC,Equity,Tech,0.007754651256508094
2020-10-19,KO,Equity,Consumer,-0.008195047213951034
2020-10-19,MMM,Equity,Industrials,-0.008305609086386223
2020-10-19,MRK,Equity,Healthcare,-0.014530793085635318
2020-10-19,MS,Equity,Financials,-0.017357961776274022
2020-10-19,NEE,Equity,Utilities,-0.01979726904554424
2020-10-19,NEM,Equity,Materials,-0.015318477305158784
2020-10-19,NKE,Equity,Consumer,-0.004453000753327219
2020-10-19,NUE,Equity,Materials,-0.007297821837688012
2020-10-19,NVDA,Equity,Tech,-0.022716389754992794
2020-10-19,O,Equity,RealEstate,-0.029406670355770048
2020-10-19,OXY,Equity,Energy,-0.02675940572877078
2020-10-19,PLD,Equity,RealEstate,-0.011893365470951545
2020-10-19,PSA,Equity,RealEstate,-0.007768315882936583
2020-10-19,QCOM,Equity,Tech,-0.00472748595192507
2020-10-19,SBUX,Equity,Consumer,-0.010392825410579842
2020-10-19,SHW,Equity,Materials,-0.0194012915070344
2020-10-19,SLB,Equity,Energy,0.0026720560380733005
2020-10-19,SO,Equity,Utilities,-0.005312744546107417
2020-10-19,T,Equity,Comm,-0.01646539735979302
2020-10-19,TMUS,Equity,Comm,-0.01922388406902653
2020-10-19,TTWO,Equity,Comm,-0.015990978610664675
2020-10-19,UPS,Equity,Industrials,-0.013414235316530965
2020-10-19,USB,Equity,Financials,-0.004343242810992187
2020-10-19,V,Equity,Financials,-0.016428544867848616
2020-10-19,WFC,Equity,Financials,-0.01399834668340072
2020-10-19,WMT,Equity,Consumer,-0.012162255174261394
2020-10-19,XOM,Equity,Energy,-0.01994119107431247
2020-10-20,ADA-USD,Crypto,Crypto,-0.05689334845246041
2020-10-20,BCH-USD,Crypto,Crypto,-0.03136791130796435
2020-10-20,BTC-USD,Crypto,Crypto,0.014843919324981414
2020-10-20,EOS-USD,Crypto,Crypto,-0.01982659336241055
2020-10-20,ETC-USD,Crypto,Crypto,-0.023854862412179823
2020-10-20,ETH-USD,Crypto,Crypto,-0.02842246378033897
2020-10-20,LTC-USD,Crypto,Crypto,-0.021786060924548045
2020-10-20,TRX-USD,Crypto,Crypto,0.005838871295119841
2020-10-20,XLM-USD,Crypto,Crypto,-0.050944827737495646
2020-10-20,XRP-USD,Crypto,Crypto,-0.009720977332077663
2020-10-20,ABBV,Equity,Healthcare,-0.0007118923807395428
2020-10-20,ABT,Equity,Healthcare,0.0029617862426596364
2020-10-20,ADBE,Equity,Tech,-0.001252071121731757
2020-10-20,AEP,Equity,Utilities,-0.006572996559854105
2020-10-20,AMD,Equity,Tech,-0.005365883431783569
2020-10-20,AMGN,Equity,Healthcare,0.0016903668856043108
2020-10-20,AMT,Equity,RealEstate,0.01752912534504314
