rebalance_date,training_end_date,max_training_observation_date,first_live_return_date,universe,method,fund,assets_used,solver_status,fallback_used,objective_value,weight_sum,min_weight,max_weight,rebalance_turnover,risk_contribution_dispersion
2022-01-03,2021-12-31,2021-12-31,2022-01-03,Equity,Risk Parity,Equity Risk Parity,50,success,False,8.533193982185787e-08,1.0,0.00975561464565248,0.036552081160877145,0.021547540254248067,0.00020924136740315888
2022-02-01,2022-01-31,2022-01-31,2022-02-01,Equity,Risk Parity,Equity Risk Parity,50,success,False,8.324938947190126e-08,1.0,0.009774470485430462,0.03665369736661329,0.03348415313206844,0.00020353100742161873
2022-03-01,2022-02-28,2022-02-28,2022-03-01,Equity,Risk Parity,Equity Risk Parity,50,success,False,8.661633715573093e-08,1.0,0.009951580167342659,0.03718870768696986,0.027218009570733216,0.0002064429382981174
2022-04-01,2022-03-31,2022-03-31,2022-04-01,Equity,Risk Parity,Equity Risk Parity,50,success,False,6.510481876810644e-08,1.0,0.010025506253915233,0.03814018519786992,0.0288610693653036,0.0001996659166621055
2022-05-02,2022-04-29,2022-04-29,2022-05-02,Equity,Risk Parity,Equity Risk Parity,50,success,False,4.387599812542807e-08,1.0,0.01007315527225239,0.037692485277525715,0.03382683829051032,0.0001622438979555288
2022-06-01,2022-05-31,2022-05-31,2022-06-01,Equity,Risk Parity,Equity Risk Parity,50,success,False,5.44764083466729e-08,1.0,0.010071704592097044,0.037408837062568374,0.030992183252269937,0.00018055497947280785
2022-07-01,2022-06-30,2022-06-30,2022-07-01,Equity,Risk Parity,Equity Risk Parity,50,success,False,6.691444367969565e-08,0.9999999999999997,0.010198880840362485,0.0373305761446374,0.032617632730085395,0.00021240233952677517
2022-08-01,2022-07-29,2022-07-29,2022-08-01,Equity,Risk Parity,Equity Risk Parity,50,success,False,6.479492616488607e-08,1.0,0.010198288703352397,0.037427596415076266,0.03235958176910926,0.00019767734737130907
2022-09-01,2022-08-31,2022-08-31,2022-09-01,Equity,Risk Parity,Equity Risk Parity,50,success,False,6.295214863760346e-08,1.0,0.010334234567489253,0.03698324317494252,0.02011278620741451,0.0001936251115800154
2022-10-03,2022-09-30,2022-09-30,2022-10-03,Equity,Risk Parity,Equity Risk Parity,50,success,False,6.029959048285527e-08,1.0,0.010498587033460514,0.03642534218191266,0.02971901827943094,0.0002053250788475805
2022-11-01,2022-10-31,2022-10-31,2022-11-01,Equity,Risk Parity,Equity Risk Parity,50,success,False,2.1679265618327336e-07,1.0,0.010708774560384911,0.03593300945108805,0.03435503043270796,0.0003817786087169789
