date,universe,method,fund,return,periods_per_year
2021-12-08,Equity,Equal Weight,Equity Equal Weight,-0.0005769049565259767,252
2021-12-09,Equity,Equal Weight,Equity Equal Weight,-0.00681983318171246,252
2021-12-10,Equity,Equal Weight,Equity Equal Weight,0.005428423454781844,252
2021-12-13,Equity,Equal Weight,Equity Equal Weight,-0.006038152907783946,252
2021-12-14,Equity,Equal Weight,Equity Equal Weight,-0.001934503618555359,252
2021-12-15,Equity,Equal Weight,Equity Equal Weight,0.008657972774681649,252
2021-12-16,Equity,Equal Weight,Equity Equal Weight,0.004803852555990487,252
2021-12-17,Equity,Equal Weight,Equity Equal Weight,-0.012437317144134917,252
2021-12-20,Equity,Equal Weight,Equity Equal Weight,-0.008131606148534016,252
2021-12-21,Equity,Equal Weight,Equity Equal Weight,0.01462265780225411,252
2021-12-22,Equity,Equal Weight,Equity Equal Weight,0.005938186176970401,252
2021-12-23,Equity,Equal Weight,Equity Equal Weight,0.005000741890955203,252
2021-12-27,Equity,Equal Weight,Equity Equal Weight,0.012643323884424488,252
2021-12-28,Equity,Equal Weight,Equity Equal Weight,0.001782330226257714,252
2021-12-29,Equity,Equal Weight,Equity Equal Weight,0.00038045048004864407,252
2021-12-30,Equity,Equal Weight,Equity Equal Weight,-0.0015226750242771365,252
2021-12-31,Equity,Equal Weight,Equity Equal Weight,-0.0011037789850730853,252
2022-01-03,Equity,Equal Weight,Equity Equal Weight,0.007893532580496583,252
2022-01-04,Equity,Equal Weight,Equity Equal Weight,0.008287326862424097,252
2022-01-05,Equity,Equal Weight,Equity Equal Weight,-0.009811024567845612,252
2022-01-06,Equity,Equal Weight,Equity Equal Weight,0.0005963769310551336,252
2022-01-07,Equity,Equal Weight,Equity Equal Weight,0.0013930725716407813,252
2022-01-10,Equity,Equal Weight,Equity Equal Weight,-0.006524926800297903,252
2022-01-11,Equity,Equal Weight,Equity Equal Weight,0.01010867090205998,252
2022-01-12,Equity,Equal Weight,Equity Equal Weight,0.0028088568181742126,252
2022-01-13,Equity,Equal Weight,Equity Equal Weight,-0.005023576980461089,252
2022-01-14,Equity,Equal Weight,Equity Equal Weight,0.001807202440442065,252
2022-01-18,Equity,Equal Weight,Equity Equal Weight,-0.010761970773172893,252
2022-01-19,Equity,Equal Weight,Equity Equal Weight,-0.0067844203426378705,252
2022-01-20,Equity,Equal Weight,Equity Equal Weight,-0.011862060931541647,252
2022-01-21,Equity,Equal Weight,Equity Equal Weight,-0.012930960558085396,252
2022-01-24,Equity,Equal Weight,Equity Equal Weight,0.002307455792883595,252
2022-01-25,Equity,Equal Weight,Equity Equal Weight,-0.003389437755906941,252
2022-01-26,Equity,Equal Weight,Equity Equal Weight,-0.00884844116500199,252
2022-01-27,Equity,Equal Weight,Equity Equal Weight,-0.003411783232470778,252
2022-01-28,Equity,Equal Weight,Equity Equal Weight,0.0168862597049742,252
2022-01-31,Equity,Equal Weight,Equity Equal Weight,0.014021638256743595,252
2022-02-01,Equity,Equal Weight,Equity Equal Weight,0.01095025843212488,252
2022-02-02,Equity,Equal Weight,Equity Equal Weight,0.00999170295568433,252
2022-02-03,Equity,Equal Weight,Equity Equal Weight,-0.00951382855415483,252
