fund,universe,method,latest_rebalance_date,ticker,weight
Combined Minimum Variance,Combined,Minimum Variance,2023-12-01,SLB,0.0
Combined Risk Parity,Combined,Risk Parity,2023-12-01,WMT,0.03169331634491186
Combined Risk Parity,Combined,Risk Parity,2023-12-01,GILD,0.03096939990475007
Combined Risk Parity,Combined,Risk Parity,2023-12-01,MRK,0.029837111990191102
Combined Risk Parity,Combined,Risk Parity,2023-12-01,NEM,0.02890677711045869
Combined Risk Parity,Combined,Risk Parity,2023-12-01,ABBV,0.02798395178420844
Combined Risk Parity,Combined,Risk Parity,2023-12-01,EA,0.02767793344689921
Combined Risk Parity,Combined,Risk Parity,2023-12-01,AMGN,0.025159809021654524
Combined Risk Parity,Combined,Risk Parity,2023-12-01,KO,0.02386209420348526
Combined Risk Parity,Combined,Risk Parity,2023-12-01,AEP,0.02359197611109103
Combined Risk Parity,Combined,Risk Parity,2023-12-01,PSA,0.02307684244698456
Combined Risk Parity,Combined,Risk Parity,2023-12-01,TTWO,0.02286605134165433
Combined Risk Parity,Combined,Risk Parity,2023-12-01,T,0.02197283414458074
Combined Risk Parity,Combined,Risk Parity,2023-12-01,DUK,0.02091168304875299
Combined Risk Parity,Combined,Risk Parity,2023-12-01,ABT,0.020859558603082997
Combined Risk Parity,Combined,Risk Parity,2023-12-01,D,0.02054579686504799
Combined Risk Parity,Combined,Risk Parity,2023-12-01,TMUS,0.020347588604749476
Combined Risk Parity,Combined,Risk Parity,2023-12-01,UPS,0.020179948769681773
Combined Risk Parity,Combined,Risk Parity,2023-12-01,MMM,0.01984944064326099
Combined Risk Parity,Combined,Risk Parity,2023-12-01,SO,0.019345025151510483
Combined Risk Parity,Combined,Risk Parity,2023-12-01,CMCSA,0.018422960965644053
Combined Risk Parity,Combined,Risk Parity,2023-12-01,CCI,0.018365349146325666
Combined Risk Parity,Combined,Risk Parity,2023-12-01,NEE,0.018283402231963952
Combined Risk Parity,Combined,Risk Parity,2023-12-01,SHW,0.018120342877798987
Combined Risk Parity,Combined,Risk Parity,2023-12-01,AMT,0.01738461405716831
Combined Risk Parity,Combined,Risk Parity,2023-12-01,O,0.017050597939360895
Combined Risk Parity,Combined,Risk Parity,2023-12-01,V,0.016383120269579082
Combined Risk Parity,Combined,Risk Parity,2023-12-01,CAT,0.01637489139996782
Combined Risk Parity,Combined,Risk Parity,2023-12-01,XOM,0.016305958712488425
Combined Risk Parity,Combined,Risk Parity,2023-12-01,NKE,0.01613179671316321
Combined Risk Parity,Combined,Risk Parity,2023-12-01,PLD,0.015579281496598105
Combined Risk Parity,Combined,Risk Parity,2023-12-01,SBUX,0.015535941332341494
