date,ticker,asset_class,sector,return
2022-05-06,ETH-USD,Crypto,Crypto,-0.01972688030319758
2022-05-07,ETH-USD,Crypto,Crypto,-0.02185052375578611
2022-05-08,ETH-USD,Crypto,Crypto,-0.04500336515045189
2022-05-09,ETH-USD,Crypto,Crypto,-0.10805714698013369
2022-05-10,ETH-USD,Crypto,Crypto,0.04368007377831029
2022-05-11,ETH-USD,Crypto,Crypto,-0.11581014355526464
2022-05-12,ETH-USD,Crypto,Crypto,-0.053282488294059016
2022-05-13,ETH-USD,Crypto,Crypto,0.026872933410718503
2022-05-14,ETH-USD,Crypto,Crypto,0.020778065161833226
2022-05-15,ETH-USD,Crypto,Crypto,0.04349267877534668
2022-05-16,ETH-USD,Crypto,Crypto,-0.057314837096923754
2022-05-17,ETH-USD,Crypto,Crypto,0.033461392764142284
2022-05-18,ETH-USD,Crypto,Crypto,-0.08311915841461581
2022-05-19,ETH-USD,Crypto,Crypto,0.053050754503766395
2022-05-20,ETH-USD,Crypto,Crypto,-0.02825124393605738
2022-05-21,ETH-USD,Crypto,Crypto,0.006731520527228918
2022-05-22,ETH-USD,Crypto,Crypto,0.03476891305694485
2022-05-23,ETH-USD,Crypto,Crypto,-0.03474418451813721
2022-05-24,ETH-USD,Crypto,Crypto,0.0034484158752532412
2022-05-25,ETH-USD,Crypto,Crypto,-0.017258819749310206
2022-05-26,ETH-USD,Crypto,Crypto,-0.07245605236746355
2022-05-27,ETH-USD,Crypto,Crypto,-0.04378840002928741
2022-05-28,ETH-USD,Crypto,Crypto,0.019142259532667127
2022-05-29,ETH-USD,Crypto,Crypto,0.030768501122035552
2022-05-30,ETH-USD,Crypto,Crypto,0.10176993535099799
2022-05-31,ETH-USD,Crypto,Crypto,-0.02710486988964189
2022-06-01,ETH-USD,Crypto,Crypto,-0.061142436711543735
2022-06-02,ETH-USD,Crypto,Crypto,0.00580245376432198
2022-06-03,ETH-USD,Crypto,Crypto,-0.03220668042518249
2022-06-04,ETH-USD,Crypto,Crypto,0.014946314822654516
2022-06-05,ETH-USD,Crypto,Crypto,0.0019956927348694364
2022-06-06,ETH-USD,Crypto,Crypto,0.029960430041737984
2022-06-07,ETH-USD,Crypto,Crypto,-0.024332589842456676
2022-06-08,ETH-USD,Crypto,Crypto,-0.01128750197501005
2022-06-09,ETH-USD,Crypto,Crypto,-0.0020886896458599535
2022-06-10,ETH-USD,Crypto,Crypto,-0.06971840279684127
2022-06-11,ETH-USD,Crypto,Crypto,-0.08130651657115606
2022-06-12,ETH-USD,Crypto,Crypto,-0.05520619538595595
2022-06-13,ETH-USD,Crypto,Crypto,-0.16650362093294369
2022-06-14,ETH-USD,Crypto,Crypto,0.0058776186564533095
2022-06-15,ETH-USD,Crypto,Crypto,0.017780176430609806
2022-06-16,ETH-USD,Crypto,Crypto,-0.13418330070586004
2022-06-17,ETH-USD,Crypto,Crypto,0.01759673482453694
2022-06-18,ETH-USD,Crypto,Crypto,-0.08548629410097963
2022-06-19,ETH-USD,Crypto,Crypto,0.13487797259723666
2022-06-20,ETH-USD,Crypto,Crypto,-1.2448902667161477e-05
2022-06-21,ETH-USD,Crypto,Crypto,-0.0024989047535589615
2022-06-22,ETH-USD,Crypto,Crypto,-0.06525702846678672
2022-06-23,ETH-USD,Crypto,Crypto,0.0874671204172921
2022-06-24,ETH-USD,Crypto,Crypto,0.07299193391343572
2022-06-25,ETH-USD,Crypto,Crypto,0.013532415710079349
2022-06-26,ETH-USD,Crypto,Crypto,-0.035076073128295526
2022-06-27,ETH-USD,Crypto,Crypto,-0.005126553295592751
2022-06-28,ETH-USD,Crypto,Crypto,-0.04113448588718749
2022-06-29,ETH-USD,Crypto,Crypto,-0.03987087571947978
2022-06-30,ETH-USD,Crypto,Crypto,-0.0287958475755975
2022-07-01,ETH-USD,Crypto,Crypto,-0.007056593656957433
2022-07-02,ETH-USD,Crypto,Crypto,0.006365060690327828
2022-07-03,ETH-USD,Crypto,Crypto,0.0068017470323764595
2022-07-04,ETH-USD,Crypto,Crypto,0.0719822052433643
2022-07-05,ETH-USD,Crypto,Crypto,-0.014350320208673328
2022-07-06,ETH-USD,Crypto,Crypto,0.046215150158809504
2022-07-07,ETH-USD,Crypto,Crypto,0.04264574018240608
2022-07-08,ETH-USD,Crypto,Crypto,-0.012190723060375164
2022-07-09,ETH-USD,Crypto,Crypto,-0.00452182081846908
2022-07-10,ETH-USD,Crypto,Crypto,-0.03991579906928
2022-07-11,ETH-USD,Crypto,Crypto,-0.06090802885970559
2022-07-12,ETH-USD,Crypto,Crypto,-0.05381238956798651
2022-07-13,ETH-USD,Crypto,Crypto,0.07262195547819328
2022-07-14,ETH-USD,Crypto,Crypto,0.0699892112978604
2022-07-15,ETH-USD,Crypto,Crypto,0.034915643229785465
2022-07-16,ETH-USD,Crypto,Crypto,0.09690575753178088
2022-07-17,ETH-USD,Crypto,Crypto,-0.010343374922703541
2022-07-18,ETH-USD,Crypto,Crypto,0.17934838115706353
2022-07-19,ETH-USD,Crypto,Crypto,-0.02264031837667424
2022-07-20,ETH-USD,Crypto,Crypto,-0.014760143806359038
2022-07-21,ETH-USD,Crypto,Crypto,0.037198265160175215
2022-07-22,ETH-USD,Crypto,Crypto,-0.02495282862569259
2022-07-23,ETH-USD,Crypto,Crypto,0.00773532856566761
2022-07-24,ETH-USD,Crypto,Crypto,0.03238835646038862
2022-07-25,ETH-USD,Crypto,Crypto,-0.09633979863866915
2022-07-26,ETH-USD,Crypto,Crypto,-0.0024745407341075776
2022-07-27,ETH-USD,Crypto,Crypto,0.13484879413164408
2022-07-28,ETH-USD,Crypto,Crypto,0.054537154456223425
2022-07-29,ETH-USD,Crypto,Crypto,0.0011236618798609044
2022-07-30,ETH-USD,Crypto,Crypto,-0.018199243328242076
2022-07-31,ETH-USD,Crypto,Crypto,-0.008521467271251915
2022-08-01,ETH-USD,Crypto,Crypto,-0.027547461014490793
2022-08-02,ETH-USD,Crypto,Crypto,-0.0013762059625289647
2022-08-03,ETH-USD,Crypto,Crypto,-0.008616897144064772
2022-08-04,ETH-USD,Crypto,Crypto,-0.006590196519029812
2022-08-05,ETH-USD,Crypto,Crypto,0.07713492098552788
2022-08-06,ETH-USD,Crypto,Crypto,-0.023435675512644583
2022-08-07,ETH-USD,Crypto,Crypto,0.00454746092581626
2022-08-08,ETH-USD,Crypto,Crypto,0.044820223025767714
2022-08-09,ETH-USD,Crypto,Crypto,-0.04082817853633558
2022-08-10,ETH-USD,Crypto,Crypto,0.08732558197044393
2022-08-11,ETH-USD,Crypto,Crypto,0.015920919087778707
2022-08-12,ETH-USD,Crypto,Crypto,0.040411101481618195
2022-08-13,ETH-USD,Crypto,Crypto,0.012308152490466462
2022-08-14,ETH-USD,Crypto,Crypto,-0.02247702236489202
2022-08-15,ETH-USD,Crypto,Crypto,-0.016818369924346488
2022-08-16,ETH-USD,Crypto,Crypto,-0.01370043034245405
2022-08-17,ETH-USD,Crypto,Crypto,-0.02403430246154259
2022-08-18,ETH-USD,Crypto,Crypto,0.007642215771740624
2022-08-19,ETH-USD,Crypto,Crypto,-0.12670250024321428
2022-08-20,ETH-USD,Crypto,Crypto,-0.022308619790894157
2022-08-21,ETH-USD,Crypto,Crypto,0.02683264680235764
2022-08-22,ETH-USD,Crypto,Crypto,0.0019680431761850414
2022-08-23,ETH-USD,Crypto,Crypto,0.024815958508431768
2022-08-24,ETH-USD,Crypto,Crypto,-0.0034344459615821554
2022-08-25,ETH-USD,Crypto,Crypto,0.023775751072091955
2022-08-26,ETH-USD,Crypto,Crypto,-0.11121660664574373
2022-08-27,ETH-USD,Crypto,Crypto,-0.010868818096081423
2022-08-28,ETH-USD,Crypto,Crypto,-0.040799154786720804
2022-08-29,ETH-USD,Crypto,Crypto,0.08562456118434225
2022-08-30,ETH-USD,Crypto,Crypto,-0.018800891209749815
2022-08-31,ETH-USD,Crypto,Crypto,0.019586105840063928
